2021-03-26 11:53:04,470  INFO | restartedMain | org.apache.catalina.core.StandardEngine                | Starting Servlet engine: [Apache Tomcat/9.0.37] 
2021-03-26 11:53:04,493  INFO | restartedMain | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]      | Initializing Spring embedded WebApplicationContext 
2021-03-26 11:53:04,493  INFO | restartedMain | o.s.b.w.s.context.ServletWebServerApplicationContext   | Root WebApplicationContext: initialization completed in 529 ms 
2021-03-26 11:53:04,533  WARN | restartedMain | o.s.b.a.o.jpa.JpaBaseConfiguration$JpaWebConfiguration | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
2021-03-26 11:53:04,576  INFO | restartedMain | o.s.scheduling.concurrent.ThreadPoolTaskExecutor       | Initializing ExecutorService 'applicationTaskExecutor' 
2021-03-26 11:53:04,585  INFO | task-1 | org.hibernate.jpa.internal.util.LogHelper              | HHH000204: Processing PersistenceUnitInfo [name: default] 
2021-03-26 11:53:04,608  INFO | task-1 | com.zaxxer.hikari.HikariDataSource                     | HikariPool-3 - Starting... 
2021-03-26 11:53:04,880  INFO | restartedMain | o.s.security.web.DefaultSecurityFilterChain            | Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@29ba38d2, org.springframework.security.web.context.SecurityContextPersistenceFilter@188d573b, org.springframework.security.web.header.HeaderWriterFilter@99b3464, org.keycloak.adapters.springsecurity.filter.KeycloakPreAuthActionsFilter@3fd317e5, org.keycloak.adapters.springsecurity.filter.KeycloakAuthenticationProcessingFilter@a182b66, org.springframework.security.web.authentication.logout.LogoutFilter@22a3d456, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@24b0fc2, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@52a323fb, org.keycloak.adapters.springsecurity.filter.KeycloakSecurityContextRequestFilter@6f1cfc63, org.keycloak.adapters.springsecurity.filter.KeycloakAuthenticatedActionsFilter@2414a9fd, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@215be756, org.springframework.security.web.session.SessionManagementFilter@14c2c0c9, org.springframework.security.web.access.ExceptionTranslationFilter@523efff, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@527a982e] 
2021-03-26 11:53:04,890  INFO | restartedMain | s.d.s.web.PropertySourcedRequestMappingHandlerMapping  | Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)] 
2021-03-26 11:53:04,943  INFO | restartedMain | o.s.b.devtools.autoconfigure.OptionalLiveReloadServer  | LiveReload server is running on port 35729 
2021-03-26 11:53:04,952  INFO | restartedMain | o.s.b.a.web.servlet.WelcomePageHandlerMapping          | Adding welcome page: class path resource [public/index.html] 
2021-03-26 11:53:04,992  WARN | restartedMain | o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration | Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration) 
2021-03-26 11:53:05,064  INFO | restartedMain | org.apache.coyote.http11.Http11NioProtocol             | Starting ProtocolHandler ["http-nio-9090"] 
2021-03-26 11:53:05,066  INFO | restartedMain | o.s.boot.web.embedded.tomcat.TomcatWebServer           | Tomcat started on port(s): 9090 (http) with context path '' 
2021-03-26 11:53:05,067  INFO | restartedMain | s.d.spring.web.plugins.DocumentationPluginsBootstrapper | Context refreshed 
2021-03-26 11:53:05,069  INFO | restartedMain | s.d.spring.web.plugins.DocumentationPluginsBootstrapper | Found 1 custom documentation plugin(s) 
